43659;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43659;PO522145787;10-4020-000676;29825;985;985;20565,6206;1971,5149;616,0984;23153,2339
43660;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43660;PO18850127500;10-4020-000117;29672;921;921;1294,2529;124,2483;38,8276;1457,3288
43661;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43661;PO18473189620;10-4020-000442;29734;517;517;32726,4786;3153,7696;985,553;36865,8012
43662;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43662;PO18444174044;10-4020-000227;29994;482;482;28832,5289;2775,1646;867,2389;32474,9324
43663;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43663;PO18009186470;10-4020-000510;29565;1073;1073;419,4589;40,2681;12,5838;472,3108
43664;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43664;PO16617121983;10-4020-000397;29898;876;876;24432,6088;2344,9921;732,81;27510,4109
43665;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43665;PO16588191572;10-4020-000146;29580;849;849;14352,7713;1375,9427;429,9821;16158,6961
43666;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43666;PO16008173883;10-4020-000511;30052;1074;1074;5056,4896;486,3747;151,9921;5694,8564
43667;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43667;PO15428132599;10-4020-000646;29974;629;629;6107,082;586,1203;183,1626;6876,3649
43668;2005-07-01 00:00:00.000;2005-07-13 00:00:00.000;5;SO43668;PO14732180295;10-4020-000514;29614;529;529;35944,1562;3461,7654;1081,8017;40487,7233
